RECORD_TYPE,MEMBER_PROPERTY_REFERENCE,OWNER_SEQUENCE,OWNER_NAME,OWNER_PAN,OWNER_TYPE,OWNERSHIP_PERCENT,OWNERSHIP_ROLE,TITLE_DOCUMENT_TYPE,TITLE_DOCUMENT_DATE
OWNERSHIP,ABC-COL-0027,1,Nisha Malhotra,DKQYK3619L,INDIVIDUAL,100.00,PRIMARY_OWNER,GIFT_DEED,2023-01-07
OWNERSHIP,ABC-COL-0028,1,Sunil Saxena,ETEGS3716R,INDIVIDUAL,70.00,PRIMARY_OWNER,ALLOTMENT_LETTER,2018-02-15
OWNERSHIP,ABC-COL-0028,2,Sneha Singh,WYWXU4668Z,INDIVIDUAL,30.00,CO_OWNER,SALE_DEED,2018-02-15
OWNERSHIP,ABC-COL-0029,1,Geeta Hegde,FBTRA3813X,INDIVIDUAL,100.00,PRIMARY_OWNER,ALLOTMENT_LETTER,2017-06-07
OWNERSHIP,ABC-COL-0030,1,Rajesh Sharma,GLHAH3910D,INDIVIDUAL,100.00,PRIMARY_OWNER,AGREEMENT_TO_SELL,2019-08-21
OWNERSHIP,ABC-COL-0031,1,Priya Iyer,HUXKR4007J,INDIVIDUAL,100.00,PRIMARY_OWNER,AGREEMENT_TO_SELL,2019-11-26
OWNERSHIP,ABC-COL-0032,1,Amit Kumar,JCMUY4104Q,INDIVIDUAL,100.00,PRIMARY_OWNER,ALLOTMENT_LETTER,2022-03-10
OWNERSHIP,ABC-COL-0033,1,Sneha Desai,KMBDG4201W,INDIVIDUAL,100.00,PRIMARY_OWNER,AGREEMENT_TO_SELL,2023-05-20
OWNERSHIP,ABC-COL-0034,1,Vikram Joshi,AABCC7890Q,LLP,100.00,PRIMARY_OWNER,ALLOTMENT_LETTER,2023-03-11
OWNERSHIP,ABC-COL-0035,1,Anita Kulkarni,MDFWX4395H,INDIVIDUAL,70.00,PRIMARY_OWNER,SALE_DEED,2016-10-08
OWNERSHIP,ABC-COL-0035,2,Arun Joshi,BSHJS5585F,INDIVIDUAL,30.00,CO_OWNER,SALE_DEED,2016-10-08
OWNERSHIP,ABC-COL-0036,1,Suresh Das,NNUFE4492P,INDIVIDUAL,100.00,PRIMARY_OWNER,ALLOTMENT_LETTER,2018-07-19
OWNERSHIP,ABC-COL-0037,1,Kavita Malhotra,PWJQN4589V,INDIVIDUAL,100.00,PRIMARY_OWNER,ALLOTMENT_LETTER,2019-04-20
OWNERSHIP,ABC-COL-0038,1,Rahul Saxena,QEYZV4686A,INDIVIDUAL,100.00,PRIMARY_OWNER,SALE_DEED,2020-07-28
OWNERSHIP,ABC-COL-0039,1,Deepa Hegde,RPNHD4783G,INDIVIDUAL,100.00,PRIMARY_OWNER,GIFT_DEED,2021-10-28
OWNERSHIP,ABC-COL-0040,1,Arun Sharma,SXCSL4880N,INDIVIDUAL,100.00,PRIMARY_OWNER,AGREEMENT_TO_SELL,2022-09-24
OWNERSHIP,ABC-COL-0041,1,Meera Iyer,TFSBT4977T,INDIVIDUAL,100.00,PRIMARY_OWNER,AGREEMENT_TO_SELL,2022-06-13
OWNERSHIP,ABC-COL-0042,1,Sanjay Kumar,UQGLB5074Z,INDIVIDUAL,70.00,PRIMARY_OWNER,ALLOTMENT_LETTER,2018-05-26
OWNERSHIP,ABC-COL-0042,2,Divya Mishra,GLUWR6502M,INDIVIDUAL,30.00,CO_OWNER,SALE_DEED,2018-05-26
OWNERSHIP,ABC-COL-0043,1,Pooja Desai,VYVVJ5171F,INDIVIDUAL,100.00,PRIMARY_OWNER,AGREEMENT_TO_SELL,2018-04-18
OWNERSHIP,ABC-COL-0044,1,Karthik Joshi,WGKES5268M,INDIVIDUAL,100.00,PRIMARY_OWNER,AGREEMENT_TO_SELL,2018-10-03
OWNERSHIP,ABC-COL-0045,1,Lakshmi Kulkarni,XRZNZ5365S,INDIVIDUAL,100.00,PRIMARY_OWNER,AGREEMENT_TO_SELL,2020-03-28
OWNERSHIP,ABC-COL-0046,1,Manoj Das,YZPXH5462Y,INDIVIDUAL,100.00,PRIMARY_OWNER,GIFT_DEED,2021-08-18
OWNERSHIP,ABC-COL-0047,1,Divya Malhotra,ZHDGQ5559E,INDIVIDUAL,100.00,PRIMARY_OWNER,GIFT_DEED,2022-09-08
OWNERSHIP,ABC-COL-0048,1,Ravi Saxena,ASTRY5656K,INDIVIDUAL,100.00,PRIMARY_OWNER,AGREEMENT_TO_SELL,2023-01-18
OWNERSHIP,ABC-COL-0049,1,Neha Hegde,BAHAF5753R,INDIVIDUAL,70.00,PRIMARY_OWNER,SALE_DEED,2017-05-07
OWNERSHIP,ABC-COL-0049,2,Harish Tripathi,MDFHP7419T,INDIVIDUAL,30.00,CO_OWNER,SALE_DEED,2017-05-07
OWNERSHIP,ABC-COL-0050,1,Ashok Sharma,CJWJP5850X,INDIVIDUAL,100.00,PRIMARY_OWNER,GIFT_DEED,2017-06-16
OWNERSHIP,ABC-COL-0051,1,Sunita Iyer,AABCG5678M,PRIVATE_LIMITED,100.00,PRIMARY_OWNER,AGREEMENT_TO_SELL,2018-02-26
OWNERSHIP,ABC-COL-0052,1,Gopal Kumar,EBACE6044J,INDIVIDUAL,100.00,PRIMARY_OWNER,ALLOTMENT_LETTER,2020-06-25
OWNERSHIP,ABC-COL-0053,1,Rekha Desai,FKQMM6141Q,INDIVIDUAL,100.00,PRIMARY_OWNER,ALLOTMENT_LETTER,2021-07-28
OWNERSHIP,ABC-COL-0054,1,Harish Joshi,GUEWU6238W,INDIVIDUAL,100.00,PRIMARY_OWNER,SALE_DEED,2023-02-07
OWNERSHIP,ABC-COL-0055,1,Anjali Kulkarni,HCUFC6335B,INDIVIDUAL,100.00,PRIMARY_OWNER,ALLOTMENT_LETTER,2022-08-29
OWNERSHIP,ABC-COL-0056,1,Pradeep Das,JLJPK6432H,INDIVIDUAL,70.00,PRIMARY_OWNER,ALLOTMENT_LETTER,2018-06-25
OWNERSHIP,ABC-COL-0056,2,Priya Iyer,SXSUN8336Z,INDIVIDUAL,30.00,CO_OWNER,SALE_DEED,2018-06-25
OWNERSHIP,ABC-COL-0057,1,Nisha Malhotra,KVXYT6529P,INDIVIDUAL,100.00,PRIMARY_OWNER,SALE_DEED,2018-05-28
OWNERSHIP,ABC-COL-0058,1,Sunil Saxena,LDMHA6626U,INDIVIDUAL,100.00,PRIMARY_OWNER,GIFT_DEED,2019-08-05
OWNERSHIP,ABC-COL-0059,1,Geeta Hegde,MMBSJ6723A,INDIVIDUAL,100.00,PRIMARY_OWNER,AGREEMENT_TO_SELL,2021-10-14
OWNERSHIP,ABC-COL-0060,1,Rajesh Sharma,NWRBR6820G,INDIVIDUAL,100.00,PRIMARY_OWNER,AGREEMENT_TO_SELL,2021-08-01
OWNERSHIP,ABC-COL-0061,1,Priya Iyer,PEFKZ6917N,INDIVIDUAL,100.00,PRIMARY_OWNER,ALLOTMENT_LETTER,2022-11-27
OWNERSHIP,ABC-COL-0062,1,Amit Kumar,QNVUG7014T,INDIVIDUAL,100.00,PRIMARY_OWNER,ALLOTMENT_LETTER,2023-10-11
OWNERSHIP,ABC-COL-0063,1,Sneha Desai,RXKDQ7111Z,INDIVIDUAL,70.00,PRIMARY_OWNER,AGREEMENT_TO_SELL,2017-06-22
OWNERSHIP,ABC-COL-0063,2,Rahul Rao,XRDGL9253F,INDIVIDUAL,30.00,CO_OWNER,SALE_DEED,2017-06-22
OWNERSHIP,ABC-COL-0064,1,Vikram Joshi,SFYNX7208F,INDIVIDUAL,100.00,PRIMARY_OWNER,ALLOTMENT_LETTER,2018-12-12
OWNERSHIP,ABC-COL-0065,1,Anita Kulkarni,TPNXF7305L,INDIVIDUAL,100.00,PRIMARY_OWNER,GIFT_DEED,2020-04-05
OWNERSHIP,ABC-COL-0066,1,Suresh Das,UYCGN7402S,INDIVIDUAL,100.00,PRIMARY_OWNER,GIFT_DEED,2020-02-22
OWNERSHIP,ABC-COL-0067,1,Kavita Malhotra,VGSQV7499Y,INDIVIDUAL,100.00,PRIMARY_OWNER,SALE_DEED,2020-12-29
OWNERSHIP,ABC-COL-0068,1,Rahul Saxena,AABCH3456P,PRIVATE_LIMITED,100.00,PRIMARY_OWNER,AGREEMENT_TO_SELL,2022-06-13
OWNERSHIP,ABC-COL-0069,1,Deepa Hegde,XZWJL7693K,INDIVIDUAL,100.00,PRIMARY_OWNER,GIFT_DEED,2022-11-15
OWNERSHIP,ABC-COL-0070,1,Arun Sharma,YHLTU7790R,INDIVIDUAL,70.00,PRIMARY_OWNER,SALE_DEED,2016-09-19
OWNERSHIP,ABC-COL-0070,2,Lakshmi Banerjee,CJQTK1171M,INDIVIDUAL,30.00,CO_OWNER,SALE_DEED,2016-09-19
OWNERSHIP,ABC-COL-0071,1,Meera Iyer,ZRZCB7887X,INDIVIDUAL,100.00,PRIMARY_OWNER,SALE_DEED,2018-11-19
OWNERSHIP,ABC-COL-0072,1,Sanjay Kumar,AAPLK7984C,INDIVIDUAL,100.00,PRIMARY_OWNER,AGREEMENT_TO_SELL,2018-12-15
OWNERSHIP,ABC-COL-0073,1,Pooja Desai,BJDVS8081J,INDIVIDUAL,100.00,PRIMARY_OWNER,GIFT_DEED,2020-01-03
OWNERSHIP,ABC-COL-0074,1,Karthik Joshi,CSTEA8178Q,INDIVIDUAL,100.00,PRIMARY_OWNER,SALE_DEED,2020-10-19
OWNERSHIP,ABC-COL-0075,1,Lakshmi Kulkarni,DBHPH8275V,INDIVIDUAL,100.00,PRIMARY_OWNER,ALLOTMENT_LETTER,2022-05-19
