RECORD_TYPE,MEMBER_LOAN_ACCOUNT_NUMBER,MEMBER_PROPERTY_REFERENCE,PRODUCT_TYPE,SANCTION_DATE,DISBURSEMENT_DATE,SANCTION_AMOUNT,CURRENT_OUTSTANDING,INTEREST_RATE,ACCOUNT_STATUS,ACCOUNT_STATUS_DATE,TENURE_MONTHS,EMI_AMOUNT,DPD,NPA_CLASSIFICATION
LOAN_ACCOUNT,ABC-HL-0044,ABC-COL-0044,PLOT_LOAN,2020-09-20,2020-10-13,25381892.46,0.00,8.4500,SETTLED,2026-03-31,164,0.00,0,SMA1
LOAN_ACCOUNT,ABC-HL-0045,ABC-COL-0045,HOME_LOAN,2021-10-21,2022-01-07,28552584.08,27923110.60,8.5000,ACTIVE,2026-03-31,165,196893.73,0,SMA2
LOAN_ACCOUNT,ABC-HL-0046,ABC-COL-0046,COMMERCIAL_PROPERTY_LOAN,2022-11-22,2023-01-15,28732162.67,27684858.97,8.5500,ACTIVE,2026-03-31,166,195213.75,0,SUB_STANDARD
LOAN_ACCOUNT,ABC-HL-0047,ABC-COL-0047,HOME_LOAN,2023-12-23,2024-02-18,17915405.65,13586962.04,8.6000,RESTRUCTURED,2026-03-31,167,95805.50,0,SUB_STANDARD
LOAN_ACCOUNT,ABC-HL-0048,ABC-COL-0048,HOME_LOAN,2024-01-24,2024-04-05,22914736.28,9228397.88,8.6500,RESTRUCTURED,2026-03-31,168,65072.04,0,SUB_STANDARD
LOAN_ACCOUNT,ABC-HL-0049,ABC-COL-0049,PLOT_LOAN,2018-02-25,2018-05-04,29119894.40,12599440.08,8.7000,ACTIVE,2026-03-31,169,88842.21,0,STANDARD
LOAN_ACCOUNT,ABC-HL-0050,ABC-COL-0050,COMMERCIAL_PROPERTY_LOAN,2019-03-01,2019-03-28,26532973.76,23665757.28,8.7500,ACTIVE,2026-03-31,170,166873.93,0,STANDARD
LOAN_ACCOUNT,ABC-HL-0051,ABC-COL-0051,PLOT_LOAN,2020-04-02,2020-05-13,12688317.95,11861334.26,8.8000,ACTIVE,2026-03-31,171,83637.61,0,SMA0
LOAN_ACCOUNT,ABC-HL-0052,ABC-COL-0052,HOME_LOAN,2021-05-03,2021-05-24,15722239.73,12733893.92,8.8500,ACTIVE,2026-03-31,172,89790.28,0,SMA1
LOAN_ACCOUNT,ABC-HL-0053,ABC-COL-0053,PLOT_LOAN,2022-06-04,2022-08-09,35326273.42,25142594.41,8.9000,ACTIVE,2026-03-31,173,177287.52,0,SMA2
LOAN_ACCOUNT,ABC-HL-0054,ABC-COL-0054,LAP,2023-07-05,2023-08-07,7065350.84,2930507.67,8.9500,ACTIVE,2026-03-31,174,20663.84,0,SUB_STANDARD
LOAN_ACCOUNT,ABC-HL-0055,ABC-COL-0055,LAP,2024-08-06,2024-09-26,40812313.21,15045817.63,9.0000,ACTIVE,2026-03-31,175,106092.30,55,DOUBTFUL
LOAN_ACCOUNT,ABC-HL-0056,ABC-COL-0056,HOME_LOAN,2018-09-07,2018-12-01,31309411.84,22877649.88,9.0500,ACTIVE,2026-03-31,176,161316.76,0,STANDARD
LOAN_ACCOUNT,ABC-HL-0057,ABC-COL-0057,HOME_LOAN,2019-10-08,2019-11-09,9900826.52,9634330.93,9.1000,ACTIVE,2026-03-31,177,67934.38,0,STANDARD
LOAN_ACCOUNT,ABC-HL-0058,ABC-COL-0058,COMMERCIAL_PROPERTY_LOAN,2020-11-09,2021-02-03,32351623.01,0.00,9.1500,CLOSED,2026-03-31,178,0.00,0,STANDARD
LOAN_ACCOUNT,ABC-HL-0059,ABC-COL-0059,HOME_LOAN,2021-12-10,2021-12-31,10209909.45,7477112.24,9.2000,ACTIVE,2026-03-31,179,52723.23,0,SMA0
LOAN_ACCOUNT,ABC-HL-0060,ABC-COL-0060,HOME_LOAN,2022-01-11,2022-04-04,41135519.37,19055456.41,9.2500,ACTIVE,2026-03-31,180,134365.40,0,SMA1
LOAN_ACCOUNT,ABC-HL-0061,ABC-COL-0061,HOME_LOAN,2023-02-12,2023-04-10,39692267.80,35068898.32,9.3000,ACTIVE,2026-03-31,181,247280.69,0,SMA2
LOAN_ACCOUNT,ABC-HL-0062,ABC-COL-0062,HOME_LOAN,2024-03-13,2024-05-27,33464993.83,14030461.11,9.3500,ACTIVE,2026-03-31,182,98932.74,0,SUB_STANDARD
LOAN_ACCOUNT,ABC-HL-0063,ABC-COL-0063,HOME_LOAN,2018-04-14,2018-06-03,3084690.26,1605951.91,9.4000,ACTIVE,2026-03-31,183,11324.02,0,DOUBTFUL
LOAN_ACCOUNT,ABC-HL-0064,ABC-COL-0064,HOME_LOAN,2019-05-15,2019-07-11,7003839.49,0.00,9.4500,SETTLED,2026-03-31,184,0.00,0,STANDARD
LOAN_ACCOUNT,ABC-HL-0065,ABC-COL-0065,COMMERCIAL_PROPERTY_LOAN,2020-06-16,2020-09-05,4221470.47,0.00,9.5000,CLOSED,2026-03-31,185,0.00,0,STANDARD
LOAN_ACCOUNT,ABC-HL-0066,ABC-COL-0066,HOME_LOAN,2021-07-17,2021-08-31,25165610.16,17247588.59,9.5500,RESTRUCTURED,2026-03-31,186,121617.61,0,SUB_STANDARD
LOAN_ACCOUNT,ABC-HL-0067,ABC-COL-0067,PLOT_LOAN,2022-08-18,2022-10-28,13642821.45,10623727.29,9.6000,ACTIVE,2026-03-31,187,74910.90,0,SMA0
LOAN_ACCOUNT,ABC-HL-0068,ABC-COL-0068,HOME_LOAN,2023-09-19,2023-11-02,18260994.47,12022938.21,9.6500,RESTRUCTURED,2026-03-31,188,84777.13,0,SUB_STANDARD
LOAN_ACCOUNT,ABC-HL-0069,ABC-COL-0069,PLOT_LOAN,2024-10-20,2024-12-08,22982290.36,8760043.47,9.7000,ACTIVE,2026-03-31,189,61769.54,0,SMA2
LOAN_ACCOUNT,ABC-HL-0070,ABC-COL-0070,HOME_LOAN,2018-11-21,2018-12-11,28536258.79,17704485.36,9.7500,ACTIVE,2026-03-31,190,124839.32,0,SUB_STANDARD
LOAN_ACCOUNT,ABC-HL-0071,ABC-COL-0071,HOME_LOAN,2019-12-22,2020-03-17,28814860.38,16764490.81,9.8000,ACTIVE,2026-03-31,191,118211.15,0,DOUBTFUL
LOAN_ACCOUNT,ABC-HL-0072,ABC-COL-0072,COMMERCIAL_PROPERTY_LOAN,2020-01-23,2020-02-07,24750542.64,8909966.16,9.8500,ACTIVE,2026-03-31,192,51046.68,0,STANDARD
LOAN_ACCOUNT,ABC-HL-0073,ABC-COL-0073,HOME_LOAN,2021-02-24,2021-04-17,5784524.81,5086789.52,9.9000,ACTIVE,2026-03-31,193,29143.06,0,STANDARD
LOAN_ACCOUNT,ABC-HL-0074,ABC-COL-0074,HOME_LOAN,2022-03-25,2022-06-22,31969994.13,28946087.38,9.9500,ACTIVE,2026-03-31,194,165836.96,0,STANDARD
LOAN_ACCOUNT,ABC-HL-0075,ABC-COL-0075,HOME_LOAN,2023-04-01,2023-06-20,4689294.60,0.00,10.0000,CLOSED,2026-03-31,195,0.00,0,SMA0
